texto,categoria,criterio,formato
Descargar reporte de trámite demorado en docx.,tramites,atrasados,word
Crear reporte de clientes en formato pdf,clientes,todos,pdf
En pantalla quiero el reporte de usuarios finales activo,clientes,pendientes,pantalla
Quisiera ver la lista de operadores atrasado y bajarla en en pdf,usuarios,atrasados,pdf
Sácame un reporte de ciudadanos con demora en documento editable.,clientes,atrasados,word
Lista archivo completado documento pdf,documentos,completados,pdf
Muéstrame un reporte de personal en xlsx,usuarios,todos,excel
lista usuarios con retraso en excel,usuarios,atrasados,excel
Por favor genera un reporte de papeles lista completa en json,documentos,todos,pantalla
DESCARGAR REPORTE DE POLÍTICA EN ARCHIVO WORD,politicas,todos,word
Exportar a vista previa los solicitante,clientes,todos,pantalla
En en word quiero el reporte de trámites terminados,tramites,completados,word
Descargar en archivo pdf el reporte de reglas de negocio procesando,politicas,pendientes,pdf
Sácame un reporte de diagramas atrasados en word,politicas,atrasados,word
por favor genera un reporte de diagramas atrasado en archivo pdf,politicas,atrasados,pdf
Sácame un reporte de política total en en excel,politicas,todos,excel
Dame los funcionario atrasados en formato excel,usuarios,atrasados,excel
Obtener reporte de archivo en ver,documentos,todos,pantalla
descargar reporte de solicitante aprobado en pantalla,clientes,completados,pantalla
Lista archivos en curso ver.,documentos,pendientes,pantalla
En formato pdf quiero el reporte de políticas de negocio atrasado,politicas,atrasados,pdf
Listado requisitos total documento pdf,documentos,todos,pdf
reporte solicitantes excel.,clientes,todos,excel
Muéstrame un reporte de usuarios finales pendiente en formato pdf,clientes,pendientes,pdf
Exportar a formato portable los políticas,politicas,todos,pdf
muéstrame un reporte de empleados sin filtros en hoja de cálculo,usuarios,todos,excel
Necesito exportar a word el listado de política de negocio sin terminar,politicas,pendientes,word
Crear reporte de políticas demorados en documento word,politicas,atrasados,word
Reporte ficheros resueltos en excel.,documentos,completados,excel
Reporte clientes terminado formato pdf,clientes,completados,pdf
Sácame un reporte de solicitudes atrasados en hoja excel,tramites,atrasados,excel
Descargar reporte de casos finalizado en formato excel,tramites,completados,excel
En formato excel dame los archivos en curso,documentos,pendientes,excel
Necesito el reporte de documento aprobados en hoja excel,documentos,completados,excel
¿es posible obtener los usuarios activos en en excel?,usuarios,pendientes,excel
En formato documento word dame los políticas de negocio todas.,politicas,todos,word
crear reporte de reglas en archivo word!,politicas,todos,word
¿es posible obtener los solicitantes vencidos en excel?,clientes,atrasados,excel
lista reglas json,politicas,todos,pantalla
Listado adjuntos completados json,documentos,completados,pantalla
En hoja excel quiero el reporte de usuarios finales sin filtros,clientes,todos,excel
quiero un reporte de trámite activos en docx,tramites,pendientes,word
Generar un reporte de personas en en excel.,clientes,todos,excel
Dame los trámite cualquiera en formato en excel,tramites,todos,excel
Lista usuarios finales consola,clientes,todos,pantalla
Muéstrame un reporte de archivo terminados en vista previa,documentos,completados,pantalla
Podrías generarme un reporte de trámite en curso en formato excel,tramites,pendientes,excel
Quiero un reporte de ciudadanos vencidos en en excel!,clientes,atrasados,excel
Quiero exportar en formato json las operadores resueltos,usuarios,completados,pantalla
Generar un reporte de cliente en pantalla.,clientes,todos,pantalla
Hazme un reporte de cliente pendientes en json,clientes,pendientes,pantalla
reporte usuario word,usuarios,todos,word
Podrías generarme un reporte de trámite atrasados en archivo excel,tramites,atrasados,excel
Crear reporte de cliente resuelto en archivo word,clientes,completados,word
Descargar reporte de funcionario todas en mostrar,usuarios,todos,pantalla
CREAR REPORTE DE DIAGRAMAS DE ACTIVIDAD EN WORD,politicas,todos,word
En formato consola dame los personas finalizados,clientes,completados,pantalla
Necesito exportar a en pantalla el listado de diagramas de actividad total,politicas,todos,pantalla
¿cómo puedo ver el reporte de clientes sin filtros en documento editable?,clientes,todos,word
Quiero un reporte de política en formato pdf,politicas,todos,pdf
Generar un reporte de clientes en formato pdf,clientes,todos,pdf
Lista reglas terminado vista previa,politicas,completados,pantalla
Exportar a hoja de cálculo los política,politicas,todos,excel
lista usuarios procesando docx,usuarios,pendientes,word
Obtener reporte de usuarios finales en documento pdf.,clientes,todos,pdf
Dame los solicitante vencido en formato pdf,clientes,atrasados,pdf
Dame los archivo en formato consola,documentos,todos,pantalla
Obtener reporte de política demorado en en pdf.,politicas,atrasados,pdf
Necesito el reporte de casos sin filtros en json,tramites,todos,pantalla
Quiero exportar en archivo excel las requisitos completado,documentos,completados,excel
Datos papeles completado en word,documentos,completados,word
quiero un reporte de casos con retraso en json,tramites,atrasados,pantalla
Exportar a documento pdf los peticiones,tramites,todos,pdf
¿cómo puedo ver el reporte de solicitantes vencidos en en pantalla?,clientes,atrasados,pantalla
Reporte operador todas en pdf,usuarios,todos,pdf
Sácame un reporte de trámites general en formato json,tramites,todos,pantalla
